喜欢,xǐ huan,to like
下,xià,down
下午,xià wǔ,afternoon
下雨,xià yǔ,to rain
先生,xiān sheng,teacher
现在,xiàn zài,now
想,xiǎng,to think
小,xiǎo,small
小姐,xiǎo jie,young lady
些,xiē,some
写,xiě,to write
谢谢,xiè xie,to thank
星期,xīng qī,week
学生,xué sheng,student
学习,xué xí,to learn
学校,xué xiào,school
一,yī,one
衣服,yī fu,clothes
医生,yī shēng,doctor
医院,yī yuàn,hospital
椅子,yǐ zi,chair
有,yǒu,to have
月,yuè,moon
在,zài,(located) at
再见,zài jiàn,goodbye
怎么,zěn me,variant of 怎麼|怎么[zěn me]
怎么样,zěn me yàng,how?
这,zhè,this
中国,Zhōng guó,China
中午,zhōng wǔ,noon
住,zhù,to live
桌子,zhuō zi,table
字,zì,letter
昨天,zuó tiān,yesterday
坐,zuò,to sit
做,zuò,to do
char,pinyin,def
吧,ba,(modal particle indicating suggestion or surmise)
白,bái,white
百,bǎi,hundred
帮助,bāng zhù,assistance
报纸,bào zhǐ,newspaper
比,bǐ,(particle used for comparison and "-er than")
别,bié,to leave
长,cháng,length
唱歌,chàng gē,to sing a song
出,chū,to go out
穿,chuān,to bore through
船,chuán,a boat
次,cì,next in sequence
从,cóng,from
错,cuò,mistake
打篮球,dá lán qiú,Play basketball
大家,dà jiā,everyone
但是,dàn shì,but
到,dào,to (a place)
得,de,structural particle: used after a verb (or adjective as main verb)
得,děi,to have to
弟弟,dì di,younger brother
第一,dì yī,first
懂,dǒng,to understand
房间,fáng jiān,room
非常,fēi cháng,unusual
服务员,fú wù yuán,waiter
高,gāo,high
告诉,gào su,to tell
哥哥,gē ge,older brother
给,gěi,to
公共汽车,gōng gòng qì chē,bus
公斤,gōng jīn,kilogram (kg)
公司,gōng sī,(business) company
贵,guì,expensive
还,hái,still
孩子,hái zi,child
好吃,hǎo chī,tasty
号,hào,ordinal number
黑,hēi,black
红,hóng,red
欢迎,huān yíng,to welcome
还,huán,to pay back
回答,huí dá,to reply
机场,jī chǎng,airport
鸡蛋,jī dàn,(chicken) egg
件,jiàn,item
教室,jiào shì,classroom
姐姐,jiě jie,older sister
介绍,jiè shào,to introduce (sb to sb)
进,jìn,to advance
近,jìn,near
就,jiù,at once
觉得,jué de,to think
咖啡,kā fēi,coffee
开始,kāi shǐ,to begin
考试,kǎo shì,to take an exam
可能,kě néng,might (happen)
可以,kě yǐ,can
课,kè,subject
快,kuài,rapid
快乐,kuài lè,happy
累,lèi,tired
离,lí,to leave
两,liǎng,both
路,lù,road
旅游,lǚ yóu,trip
卖,mài,to sell
慢,màn,slow
忙,máng,busy
每,měi,each
妹妹,mèi mei,younger sister
门,mén,gate
男人,nán rén,a man
您,nín,you (courteous
牛奶,niú nǎi,cow's milk
女人,nǚ rén,woman
旁边,páng biān,lateral
跑步,pǎo bù,to walk quickly
便宜,pián yi,small advantages
票,piào,ticket
妻子,qī zi,wife
起床,qǐ chuáng,to get out of bed
千,qiān,a swing
晴,qíng,clear
去年,qù nián,last year
让,ràng,to yield
上班,shàng bān,to go to work
身体,shēn tǐ,(human) body
生病,shēng bìng,to fall ill
生日,shēng rì,birthday
时间,shí jiān,time
事情,shì qing,affair
手表,shǒu biǎo,wrist watch
手机,shǒu jī,cell phone
送,sòng,to deliver
所以,suǒ yǐ,therefore
它,tā,it
踢,tī,to kick
题,tí,topic
跳舞,tiào wǔ,to dance
外,wài,outside
完,wán,to finish
玩,wán,toy
晚上,wǎn shang,evening
为,wèi,variant of 為|为
问,wèn,to ask
问题,wèn tí,question
西瓜,xī guā,watermelon
希望,xī wàng,to wish for
洗,xǐ,to wash
向,xiàng,towards
小时,xiǎo shí,hour
笑,xiào,laugh
新,xīn,new
姓,xìng,family name
休息,xiū xi,rest
雪,xuě,snow
颜色,yán sè,color
眼睛,yǎn jing,eye
羊肉,yáng ròu,mutton
